Character,Vehicle,Tire,Glider,Speed_Avg,Speed_Min,Accel,Weight,Handling_Avg,Handling_Min,Traction,M-turbo,Invincib
Baby Peach = Baby Daisy,Standard Kart = The Duke,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.0,2.0,4.9,4.5,4.25,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.25,1.75,4.9375,4.5,4.25,4.75,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6,2.5,4.0,2.25,4.875,4.75,4.0,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.25,2.0,4.9375,4.75,4.0,4.75,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,GLA Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.0,2.0,4.9,4.5,4.25,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,GLA Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.25,1.75,4.9375,4.5,4.25,4.75,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,GLA Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6,2.5,4.0,2.25,4.875,4.75,4.0,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,GLA Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.25,2.0,4.9375,4.75,4.0,4.75,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Monster = Hot Monster,Super Glider = Waddle Wing = Hylian Kite,2.5,2.25,3.5,2.5,4.25,4.0,4.75,4.25,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Monster = Hot Monster,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.25,3.75,2.25,4.3125,4.0,4.75,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Monster = Hot Monster,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,2.25,3.5,2.75,4.25,4.0,4.5,4.25,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Monster = Hot Monster,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,2.25,3.75,2.5,4.3125,4.0,4.5,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Ancient Tires,Super Glider = Waddle Wing = Hylian Kite,2.5,2.25,3.5,2.5,4.25,4.0,4.75,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Ancient Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.25,3.75,2.25,4.3125,4.0,4.75,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Ancient Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,2.25,3.5,2.75,4.25,4.0,4.5,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Ancient Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,2.25,3.75,2.5,4.3125,4.0,4.5,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Roller = Azure Roller,Super Glider = Waddle Wing = Hylian Kite,2.375,1.75,4.5,1.5,5.13,4.75,4.0,5.0,3.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Roller = Azure Roller,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.3125,1.75,4.75,1.25,5.1875,4.75,4.0,5.25,3.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Roller = Azure Roller,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4,2.0,4.5,1.75,5.125,5.0,3.75,5.0,3.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Roller = Azure Roller,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.25,1.75,4.75,1.5,5.1875,5.0,3.75,5.25,3.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slim = Wood = Crimson Slim,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,3.5,2.0,5.0625,4.75,3.25,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slim = Wood = Crimson Slim,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.6,2.5,3.75,1.75,5.125,4.75,3.25,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slim = Wood = Crimson Slim,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,3.5,2.25,5.0625,4.75,3.0,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slim = Wood = Crimson Slim,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,3.75,2.0,5.125,4.75,3.0,4.5,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slick = Cyber Slick,Super Glider = Waddle Wing = Hylian Kite,2.5,2.0,3.25,2.25,4.4375,3.75,3.0,4.0,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slick = Cyber Slick,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.0,3.5,2.0,4.50,3.75,3.0,4.25,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slick = Cyber Slick,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,1.75,3.25,2.5,4.4375,4.0,2.75,4.0,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Slick = Cyber Slick,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,1.75,3.5,2.25,4.5,4.0,2.75,4.25,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Metal,Super Glider = Waddle Wing = Hylian Kite,2.625,2.0,3.0,2.5,4.4375,4.25,3.5,4.0,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Metal,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,3.25,2.25,4.5,4.25,3.5,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Metal,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.25,3.0,2.75,4.4375,4.25,3.25,4.0,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Metal,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,3.25,2.5,4.5,4.25,3.25,4.25,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Gold Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.0,3.0,2.5,4.4375,4.25,3.5,4.0,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Gold Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,3.25,2.25,4.5,4.25,3.5,4.25,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Gold Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.25,3.0,2.75,4.4375,4.25,3.25,4.0,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Gold Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,3.25,2.5,4.5,4.25,3.25,4.25,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Button = Leaf Tires,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.25,4.25,1.5,4.875,4.5,3.75,4.75,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Button = Leaf Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4,2.0,4.5,1.25,4.9375,4.5,3.75,5.0,3.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Button = Leaf Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.25,4.25,1.75,4.875,4.75,3.5,4.75,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Button = Leaf Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.5,1.5,4.9375,4.75,3.5,5.0,3.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Off-Road = Retro Off-Road = Triforce Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,3.75,2.25,4.5,4.0,4.5,4.25,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Off-Road = Retro Off-Road = Triforce Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.0,2.0,4.5625,4.0,4.5,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Off-Road = Retro Off-Road = Triforce Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.5,3.75,2.5,4.5,4.25,4.25,4.25,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Off-Road = Retro Off-Road = Triforce Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.0,2.25,4.5625,4.25,4.25,4.5,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Sponge,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.0,4.0,1.75,4.625,4.0,4.5,4.75,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Sponge,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.375,2.0,4.25,1.5,4.6875,4.0,4.5,5.0,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Sponge,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.0,4.0,2.0,4.625,4.25,4.25,4.75,4.25
Baby Peach = Baby Daisy,Standard Kart = The Duke,Sponge,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.25,1.75,4.6875,4.25,4.25,5.0,4.0
Baby Peach = Baby Daisy,Standard Kart = The Duke,Cushion,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.0,4.0,1.75,4.625,4.0,4.5,4.75,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Cushion,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.375,2.0,4.25,1.5,4.6875,4.0,4.5,5.0,4.5
Baby Peach = Baby Daisy,Standard Kart = The Duke,Cushion,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.0,4.0,2.0,4.625,4.25,4.25,4.75,4.75
Baby Peach = Baby Daisy,Standard Kart = The Duke,Cushion,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.25,1.75,4.6875,4.25,4.25,5.0,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.0,2.0,4.9,4.5,4.25,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.25,1.75,4.9375,4.5,4.25,4.75,4.25
Baby Peach = Baby Daisy,300 SL Roadster,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6,2.5,4.0,2.25,4.875,4.75,4.0,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.25,2.0,4.9375,4.75,4.0,4.75,4.25
Baby Peach = Baby Daisy,300 SL Roadster,GLA Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,4.0,2.0,4.9,4.5,4.25,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,GLA Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.25,1.75,4.9375,4.5,4.25,4.75,4.5
Baby Peach = Baby Daisy,300 SL Roadster,GLA Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6,2.5,4.0,2.25,4.875,4.75,4.0,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,GLA Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.25,2.0,4.9375,4.75,4.0,4.75,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Monster = Hot Monster,Super Glider = Waddle Wing = Hylian Kite,2.5,2.25,3.5,2.5,4.25,4.0,4.75,4.25,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Monster = Hot Monster,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.25,3.75,2.25,4.3125,4.0,4.75,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Monster = Hot Monster,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,2.25,3.5,2.75,4.25,4.0,4.5,4.25,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Monster = Hot Monster,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,2.25,3.75,2.5,4.3125,4.0,4.5,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Ancient Tires,Super Glider = Waddle Wing = Hylian Kite,2.5,2.25,3.5,2.5,4.25,4.0,4.75,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Ancient Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.25,3.75,2.25,4.3125,4.0,4.75,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Ancient Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,2.25,3.5,2.75,4.25,4.0,4.5,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Ancient Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,2.25,3.75,2.5,4.3125,4.0,4.5,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Roller = Azure Roller,Super Glider = Waddle Wing = Hylian Kite,2.375,1.75,4.5,1.5,5.13,4.75,4.0,5.0,3.5
Baby Peach = Baby Daisy,300 SL Roadster,Roller = Azure Roller,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.3125,1.75,4.75,1.25,5.1875,4.75,4.0,5.25,3.25
Baby Peach = Baby Daisy,300 SL Roadster,Roller = Azure Roller,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4,2.0,4.5,1.75,5.125,5.0,3.75,5.0,3.5
Baby Peach = Baby Daisy,300 SL Roadster,Roller = Azure Roller,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.25,1.75,4.75,1.5,5.1875,5.0,3.75,5.25,3.25
Baby Peach = Baby Daisy,300 SL Roadster,Slim = Wood = Crimson Slim,Super Glider = Waddle Wing = Hylian Kite,2.6875,2.5,3.5,2.0,5.0625,4.75,3.25,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Slim = Wood = Crimson Slim,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.6,2.5,3.75,1.75,5.125,4.75,3.25,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Slim = Wood = Crimson Slim,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.6875,2.25,3.5,2.25,5.0625,4.75,3.0,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Slim = Wood = Crimson Slim,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5625,2.25,3.75,2.0,5.125,4.75,3.0,4.5,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Slick = Cyber Slick,Super Glider = Waddle Wing = Hylian Kite,2.5,2.0,3.25,2.25,4.4375,3.75,3.0,4.0,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Slick = Cyber Slick,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4375,2.0,3.5,2.0,4.50,3.75,3.0,4.25,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Slick = Cyber Slick,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.5,1.75,3.25,2.5,4.4375,4.0,2.75,4.0,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Slick = Cyber Slick,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.375,1.75,3.5,2.25,4.5,4.0,2.75,4.25,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Metal,Super Glider = Waddle Wing = Hylian Kite,2.625,2.0,3.0,2.5,4.4375,4.25,3.5,4.0,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Metal,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,3.25,2.25,4.5,4.25,3.5,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Metal,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.25,3.0,2.75,4.4375,4.25,3.25,4.0,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Metal,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,3.25,2.5,4.5,4.25,3.25,4.25,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Gold Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.0,3.0,2.5,4.4375,4.25,3.5,4.0,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Gold Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,3.25,2.25,4.5,4.25,3.5,4.25,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Gold Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.25,3.0,2.75,4.4375,4.25,3.25,4.0,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Gold Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,3.25,2.5,4.5,4.25,3.25,4.25,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Button = Leaf Tires,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.25,4.25,1.5,4.875,4.5,3.75,4.75,4.25
Baby Peach = Baby Daisy,300 SL Roadster,Button = Leaf Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.4,2.0,4.5,1.25,4.9375,4.5,3.75,5.0,4.0
Baby Peach = Baby Daisy,300 SL Roadster,Button = Leaf Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.25,4.25,1.75,4.875,4.75,3.5,4.75,4.25
Baby Peach = Baby Daisy,300 SL Roadster,Button = Leaf Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.5,1.5,4.9375,4.75,3.5,5.0,4.0
Baby Peach = Baby Daisy,300 SL Roadster,Off-Road = Retro Off-Road = Triforce Tires,Super Glider = Waddle Wing = Hylian Kite,2.625,2.25,3.75,2.25,4.5,4.0,4.5,4.25,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Off-Road = Retro Off-Road = Triforce Tires,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.5625,2.25,4.0,2.0,4.5625,4.0,4.5,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Off-Road = Retro Off-Road = Triforce Tires,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.625,2.5,3.75,2.5,4.5,4.25,4.25,4.25,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Off-Road = Retro Off-Road = Triforce Tires,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.5,2.25,4.0,2.25,4.5625,4.25,4.25,4.5,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Sponge,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.0,4.0,1.75,4.625,4.0,4.5,4.75,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Sponge,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.375,2.0,4.25,1.5,4.6875,4.0,4.5,5.0,4.25
Baby Peach = Baby Daisy,300 SL Roadster,Sponge,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.0,4.0,2.0,4.625,4.25,4.25,4.75,4.5
Baby Peach = Baby Daisy,300 SL Roadster,Sponge,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.25,1.75,4.6875,4.25,4.25,5.0,4.25
Baby Peach = Baby Daisy,300 SL Roadster,Cushion,Super Glider = Waddle Wing = Hylian Kite,2.4375,2.0,4.0,1.75,4.625,4.0,4.5,4.75,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Cushion,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.375,2.0,4.25,1.5,4.6875,4.0,4.5,5.0,4.75
Baby Peach = Baby Daisy,300 SL Roadster,Cushion,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.4375,2.0,4.0,2.0,4.625,4.25,4.25,4.75,5.0
Baby Peach = Baby Daisy,300 SL Roadster,Cushion,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.3125,2.0,4.25,1.75,4.6875,4.25,4.25,5.0,4.75
Baby Peach = Baby Daisy,Pipe Frame,Standard = Blue Standard,Super Glider = Waddle Wing = Hylian Kite,2.3125,1.75,4.5,1.75,5.125,4.75,4.5,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Standard = Blue Standard,Cloud Glider = Parachute = Flower Glider = Paper Glider,2.25,2.0,4.75,1.5,5.1875,5.0,4.5,5.0,4.0
Baby Peach = Baby Daisy,Pipe Frame,Standard = Blue Standard,Wario Wing = Plane Glider = Gold Glider = Paraglider,2.3125,2.0,4.5,2.0,5.125,4.75,4.25,4.75,4.25
Baby Peach = Baby Daisy,Pipe Frame,Standard = Blue Standard,Peach Parasol = Parafoil = Bowser Kite = MKTV Parafoil,2.1875,2.0,4.75,1.75,5.1875,5.0,4.25,5.0,4.0
