Name,Speed_Land,Speed_Anti-G,Speed_Water,Speed_Gliding,Accel,Weight,Handling_Land,Handling_Anti-G,Handling_Water,Handling_Gliding,Traction,M-turbo,Invincib
Baby Peach = Baby Daisy,2.50,2.25,2.75,3,4,2,5,5,4.5,5,4.25,4.5,4.25
Baby Rosalina = Lemmy,2.50,2.25,2.75,3,4.25,2,4.75,4.75,4.25,4.75,3.75,4.5,4.25
Baby Mario = Baby Luigi = Dry Bones = Light Mii,2.75,2.50,3,3.25,4.25,2.25,4.5,4.5,4,4.5,4,4.5,4
Toadette = Wendy = Isabelle,3,2.75,3.25,3.5,4.25,2.5,4.25,4.25,3.75,4.25,3.5,4.25,3.5
Koopa Troopa = Lakitu = Bowser Jr.,3,2.75,3.25,3.5,4,2.5,4.5,4.5,4,4.5,4.25,4.25,3.75
Toad = Shy Guy = Larry,3.25,3,3.5,3.75,4,2.75,4.25,4.25,3.75,4.25,4,4.25,3.5
Cat Peach = Inkling Girl = Female Villager = Diddy Kong,3.5,3.25,3.75,4,4,2.75,4,4,3.5,4,3.75,4.25,3.5
Peach = Daisy = Yoshi = Birdo = Peachette,3.75,3.5,4,4.25,3.75,3,3.75,3.75,3.25,3.75,3.75,4.25,3
Tanooki Mario = Inkling Boy = Male Villager,3.75,3.5,4,4.25,3.75,3.25,3.75,3.75,3.25,3.75,3.25,4.25,3
Mario = Ludwig = Medium Mii,4,3.75,4.25,4.5,3.5,3.5,3.5,3.5,3,3.5,3.5,4,3.5
Luigi = Iggy = Kamek,4,3.75,4.25,4.5,3.5,3.5,3.75,3.75,3.25,3.75,3.25,4,3.5
Rosalina = King Boo = Link (both outfits) = Pauline,4.25,4,4.5,4.75,3.25,3.75,3.25,3.25,2.75,3.25,3.75,3.75,3.75
Metal Mario = Gold Mario = Pink Gold Peach,4.25,4,4.5,4.75,3.25,4.5,3.25,3.25,2.75,3.25,3.25,3.5,3.5
Petey Piranha,4.25,4,4.5,4.75,3.25,4.5,3.25,3.25,2.75,3.25,3.25,3.5,4.25
Waluigi = Donkey Kong = Roy = Wiggler,4.5,4.25,4.75,5,3.25,4,3,3,2.5,3,3,3.5,3.75
Wario = Dry Bowser = Heavy Mii = Funky Kong,4.75,4.5,5,5.25,3,4.25,2.75,2.75,2.25,2.75,3.25,3.25,4
Bowser = Morton,4.75,4.5,5,5.25,3,4.5,2.5,2.5,2,2.5,3,3.25,4.25
