Character,Vehicle,Tire,Glider,Speed_Land,Speed_Anti-G,Speed_Water,Speed_Gliding,Accel,Weight,Handling_Land,Handling_Anti-G,Handling_Water,Handling_Gliding,Traction,M-turbo,Invincib
Baby Peach / Baby Daisy,300 SL Roadster,GLA Tires,Super Glider / Waddle Wing / Hylian Kite,2.5,2.25,2.75,3.0,4.0,2.0,5.0,5.0,4.5,5.0,4.25,4.5,4.75
Baby Peach / Baby Daisy,300 SL Roadster,GLA Tires,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.25,2.5,2.75,2.75,4.25,1.75,5.0,5.0,4.5,5.25,4.25,4.75,4.5
Baby Peach / Baby Daisy,300 SL Roadster,GLA Tires,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.5,2.5,2.5,3.0,4.0,2.25,5.0,4.75,4.75,5.0,4.0,4.5,4.75
Baby Peach / Baby Daisy,300 SL Roadster,GLA Tires,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.25,2.5,2.5,2.75,4.25,2.0,5.0,4.75,4.75,5.25,4.0,4.75,4.5
Baby Peach / Baby Daisy,300 SL Roadster,Roller / Azure Roller,Super Glider / Waddle Wing / Hylian Kite,2.0,1.75,2.75,3.0,4.5,1.5,5.25,5.25,4.75,5.25,4.0,5.0,3.5
Baby Peach / Baby Daisy,300 SL Roadster,Roller / Azure Roller,Cloud Glider / Parachute / Flower Glider / Paper Glider,1.75,2.0,2.75,2.75,4.75,1.25,5.25,5.25,4.75,5.5,4.0,5.25,3.25
Baby Peach / Baby Daisy,300 SL Roadster,Roller / Azure Roller,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.0,2.0,2.5,3.0,4.5,1.75,5.25,5.0,5.0,5.25,3.75,5.0,3.5
Baby Peach / Baby Daisy,300 SL Roadster,Roller / Azure Roller,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,1.75,2.0,2.5,2.75,4.75,1.5,5.25,5.0,5.0,5.5,3.75,5.25,3.25
Baby Peach / Baby Daisy,300 SL Roadster,Slim / Wood / Crimson Slim,Super Glider / Waddle Wing / Hylian Kite,2.75,2.75,2.5,2.75,3.5,2.0,5.25,5.0,4.75,5.25,3.25,4.25,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Slim / Wood / Crimson Slim,Cloud Glider / Parachute / Flower Glider / Paper Glider,2.5,3.0,2.5,2.5,3.75,1.75,5.25,5.0,4.75,5.5,3.25,4.5,4.5
Baby Peach / Baby Daisy,300 SL Roadster,Slim / Wood / Crimson Slim,Wario Wing / Plane Glider / Gold Glider / Paraglider,2.75,3.0,2.25,2.75,3.5,2.25,5.25,4.75,5.0,5.25,3.0,4.25,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Slim / Wood / Crimson Slim,Peach Parasol / Parafoil / Bowser Kite / MKTV Parafoil,2.5,3.0,2.25,2.5,3.75,2.0,5.25,4.75,5.0,5.5,3.0,4.5,4.5
Baby Peach / Baby Daisy,300 SL Roadster,Slick / Cyber Slick,Super Glider / Waddle Wing / Hylian Kite,3.0,2.75,2.0,2.25,3.25,2.25,4.75,4.75,3.75,4.5,3.0,4.0,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Slick / Cyber Slick,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,3.0,1.75,2.25,3.25,2.5,4.75,4.5,4.0,4.5,2.75,4.0,4.75
Baby Peach / Baby Daisy,300 SL Roadster,Metal,Super Glider / Waddle Wing / Hylian Kite,3.0,2.0,2.75,2.75,3.0,2.5,4.75,4.5,4.25,4.25,3.5,4.0,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Metal,Wario Wing / Plane Glider / Gold Glider / Paraglider,3.0,2.25,2.5,2.75,3.0,2.75,4.75,4.25,4.5,4.25,3.25,4.0,5.0
Baby Peach / Baby Daisy,300 SL Roadster,Button / Leaf Tires,Super Glider / Waddle Wing / Hylian Kite,2.25,2.25,2.5,2.75,4.25,1.5,5.0,5.25,4.5,4.75,3.75,4.75,4.25
