Name,Speed_Land,Speed_Anti-G,Speed_Water,Speed_Gliding,Accel,Weight,Handling_Land,Handling_Anti-G,Handling_Water,Handling_Gliding,Traction,M-turbo,Invincib
Standard Kart = The Duke,0,0,0,0,0,0,0,0,0,0,0,0,0
300 SL Roadster,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Pipe Frame,-0.25,-0.5,0,-0.5,0.5,-0.25,0.5,0.25,0.5,-0.25,0.25,0.25,0
Varmint = City Tripper,-0.25,-0.5,0,-0.5,0.5,-0.25,0.5,0.25,0.5,-0.25,0.25,0.25,-0.25
Mach 8 = Sports Coupe,0,0.5,0,0.25,-0.25,0.25,-0.25,0.25,0,-0.25,0.25,0,0
Inkstriker,0,0.5,0,0.25,-0.25,0.25,-0.25,0.25,0,-0.25,0.25,0,-0.5
Steel Driver = Tri-Speeder,0.25,-0.25,0.5,-0.75,-0.75,0.5,-0.5,-0.5,0.75,-0.5,0,-0.5,0.75
Bone Rattler,0.25,-0.25,0.5,-0.75,-0.75,0.5,-0.5,-0.5,0.75,-0.5,0,-0.5,0.5
Cat Cruiser = Comet,-0.25,0,-0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0
Yoshi Bike,-0.25,0,-0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,-0.25
Teddy Buggy,-0.25,0,-0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,-0.5
Circuit Special = B-Dasher = P-Wing,0.5,0.25,-0.5,-0.25,-0.75,0.25,-0.5,-0.25,-0.25,-0.75,-0.5,-0.5,0.75
Badwagon = GLA,0.5,0,-0.25,-0.5,-1,0.5,-0.75,-0.5,-0.25,-0.75,0.5,-0.5,1
Standard ATV,0.5,0,-0.25,-0.5,-1,0.5,-0.75,-0.5,-0.25,-0.75,0.5,-0.5,0.75
Prancer,0.25,0,0,0,-0.5,-0.25,0,-0.25,0.25,0,-0.25,-0.25,0.5
Sport Bike = Jet Bike,0.25,0,0,0,-0.5,-0.25,0,-0.25,0.25,0,-0.25,-0.25,0
Biddybuggy = Mr Scooty,-0.75,-0.25,-0.5,-0.5,0.75,-0.5,0.5,0.5,0.5,0.25,0.25,0.5,-0.75
Landship,-0.25,-0.75,0.5,-0.25,0.5,-0.5,0.25,-0.25,0.75,0,0.75,0.25,-0.25
Streetle,-0.25,-0.75,0.5,-0.25,0.5,-0.5,0.25,-0.25,0.75,0,0.75,0.25,0
Sneeker,0.25,0,-0.25,0,-0.5,0,0,0,0,-0.25,-0.75,-0.25,0.5
Gold Standard,0.25,0,-0.25,0,-0.5,0,0,0,0,-0.25,-0.75,-0.25,0.25
Master Cycle,0.25,0,-0.25,0,-0.5,0,0,0,0,-0.25,-0.75,-0.25,0
W 25 Silver Arrow = Standard Bike = Flame Rider = Wild Wiggler,-0.25,0.25,-0.25,0,0.25,-0.25,0.25,0.25,0.25,0,0.5,0,0.25
Blue Falcon,0.25,0.25,-0.25,0,-0.25,-0.5,-0.25,0.5,0.25,-0.5,0,-0.25,0.25
Splat Buggy,0.25,0.25,-0.25,0,-0.25,-0.5,-0.25,0.5,0.25,-0.5,0,-0.25,0
Tanooki Kart,0,0,0.25,0,-0.5,0.25,0.25,0,0.5,0,1,0,0.25
Koopa Clown = Master Cycle Zero,0,0,0.25,0,-0.5,0.25,0.25,0,0.5,0,1,0,0
